num,energy,x,y,z,x,y,z
312,-1.126825,0.987738,1.2447,1.045707,0.29272,1.175784,1.250942
373,-1.126816,2.172931,0.735092,0.693546,2.851748,0.566663,0.88796
729,-1.12679,1.223503,1.425069,1.088103,0.926261,2.09962,1.09234
96,-1.126748,2.187044,1.456964,1.419285,2.644033,1.081104,1.864506
359,-1.126742,2.020801,1.692778,1.687032,1.383353,1.990299,1.454568
739,-1.126741,2.129586,2.054972,1.952689,2.725981,1.920703,1.573856
348,-1.126731,0.952271,1.400702,1.911002,1.148313,1.879808,2.442003
216,-1.126633,1.554803,1.420694,0.388126,1.394534,1.922714,0.916909
347,-1.126578,2.225363,1.704177,0.212293,1.506211,1.538167,0.338361
316,-1.126499,2.613839,0.703518,1.850854,2.891085,1.126896,2.34781
741,-1.126465,0.156182,0.774317,1.949252,0.145481,0.058267,2.181113
276,-1.126421,0.738906,1.949167,2.51325,0.41329,1.681057,1.945846
516,-1.125861,1.923247,0.610073,0.691153,1.646413,0.230358,1.298243
235,-1.125235,1.998379,0.842543,0.404217,2.490736,0.433516,0.158491
302,-1.124866,0.621882,1.740624,2.183339,1.010063,1.968902,2.694229
733,-1.124842,0.684807,0.866428,2.721247,1.082072,0.471402,2.171327
13,-1.124582,1.562534,1.667419,1.308278,1.691355,1.115517,1.856864
770,-1.124358,0.849334,2.209618,1.95508,1.27649,1.552103,1.844696
463,-1.124119,2.467284,1.472778,1.14667,2.82094,1.565654,0.440808
530,-1.123469,1.207417,2.293226,0.332903,1.578641,1.739191,0.324337
842,-1.122361,2.655425,2.134846,2.693311,2.674458,1.896222,1.914138
237,-1.122242,0.675823,1.864066,1.987054,0.44497,2.59522,1.706801
370,-1.122023,1.809088,0.018658,1.217703,1.318309,0.364124,1.774363
69,-1.121569,1.22848,0.12931,2.227085,0.59145,0.26813,2.202071
635,-1.121073,0.833855,0.492024,2.454225,1.560872,0.657625,2.094592
362,-1.120917,1.320249,1.135718,0.614593,0.603593,1.550729,0.571021
983,-1.120666,1.62999,0.28514,1.161836,1.09293,0.919955,1.174496
902,-1.120273,1.263833,2.110397,0.549423,0.532728,2.244057,0.168455
969,-1.120149,1.169812,2.576737,2.318919,1.954012,2.618825,2.606346
697,-1.119874,2.027549,2.730096,2.210774,2.021227,2.579842,1.385666
298,-1.119706,0.668581,1.968299,1.545951,1.352918,1.634903,1.190417
884,-1.118767,1.753992,1.227616,2.427903,0.955356,1.167961,2.148782
339,-1.118285,2.480732,2.665239,0.805192,2.205634,2.611533,0.000558
383,-1.117853,2.327439,2.054788,1.635526,2.292182,2.057489,2.490316
825,-1.117391,2.623733,1.221246,1.264049,2.985002,1.040936,0.781744
788,-1.117349,0.62452,1.749996,0.692845,0.44173,2.060046,1.208455
488,-1.1173,1.16902,0.506656,1.153934,0.521262,0.050463,0.819769
642,-1.116813,0.698689,2.847984,2.479871,0.563322,2.425053,2.03822
322,-1.116685,1.603421,2.619256,2.548307,2.195931,2.406585,1.955661
813,-1.116291,1.664326,2.282178,2.057493,1.522913,2.613874,2.566684
277,-1.115976,2.494065,2.234999,0.354206,1.874506,1.637704,0.227071
598,-1.115761,0.55374,0.803022,1.887409,0.890278,0.798028,2.691323
372,-1.115182,0.247223,1.679428,1.455401,0.434713,0.92175,1.058245
259,-1.1151,1.525669,2.688009,1.266326,2.085083,2.439842,1.357918
953,-1.114847,1.212422,1.850833,0.728457,0.684894,1.83355,1.430319
766,-1.114692,1.471864,1.145378,2.553979,0.922781,0.470419,2.680829
944,-1.113845,2.661355,1.719199,0.105051,1.913036,2.191836,0.123843
764,-1.113637,1.035153,0.671639,2.157184,0.592842,1.3615,2.495933
279,-1.112959,0.903715,1.336961,1.398236,1.460489,1.19064,1.600976
22,-1.112077,0.66912,1.559823,0.86731,1.131623,1.166573,0.869391
95,-1.111937,2.336877,1.356657,0.766954,2.666063,0.551639,0.542071
14,-1.111521,1.384943,2.664642,1.46428,1.579391,1.871306,1.844783
137,-1.111167,1.412004,0.697213,1.704871,2.311116,0.731009,1.62325
531,-1.110288,1.019142,0.881061,1.185415,1.452164,0.328911,0.60729
571,-1.110143,2.425969,2.331108,2.824628,2.142614,1.802882,2.85833
633,-1.109897,1.167352,0.744246,0.471127,0.849283,1.322212,1.100407
694,-1.10983,0.201894,0.936905,0.94542,0.911373,0.483637,1.296377
83,-1.108618,2.499501,1.770858,2.390047,1.703933,2.226404,2.314833
848,-1.108454,0.658354,1.302102,2.317142,1.095961,1.54363,2.639755
926,-1.108432,0.616952,2.018086,1.105567,0.49822,2.53997,1.855101
900,-1.108242,1.909422,1.76276,1.070823,2.19933,1.824104,1.944113
676,-1.108177,1.645737,1.575946,0.193022,1.121645,1.475645,0.454079
942,-1.107598,1.857357,1.540153,2.329616,1.244511,1.155405,2.90776
195,-1.106212,1.645126,0.524803,1.923639,1.207069,1.117181,1.348423
616,-1.105941,1.597032,0.365681,2.555635,2.481914,0.658452,2.466039
637,-1.105501,1.798671,2.550992,2.864633,2.577069,2.558348,2.339481
666,-1.105089,0.036531,1.525833,0.693089,0.686145,1.007246,0.250977
31,-1.104459,0.507899,1.645072,1.318676,0.860208,2.05511,1.100002
636,-1.104409,1.754535,0.855422,1.601575,1.090154,1.515784,1.472872
440,-1.104286,1.1306,2.049154,2.495542,1.355113,2.672965,1.820356
126,-1.102334,0.12501,1.456157,2.49017,0.518254,2.325308,2.574826
123,-1.101747,1.572862,1.872605,1.16323,1.295238,2.305958,1.421772
355,-1.101484,1.968623,1.417427,0.675171,2.514629,0.652974,0.885303
840,-1.101115,2.409811,1.824816,1.089889,2.873644,2.107383,1.276663
634,-1.100682,1.533495,2.476804,2.592618,1.70142,1.525282,2.548455
78,-1.099716,0.27844,2.47651,2.204432,0.455546,2.924786,1.359514
732,-1.098782,1.980619,2.203613,1.246647,2.297985,2.350338,2.160007
454,-1.09732,2.511473,0.178313,0.55627,2.398351,1.107012,0.244429
117,-1.096317,1.130598,2.233591,0.281255,2.070959,2.544257,0.333353
214,-1.096312,0.773471,2.595611,0.223898,1.632538,2.247722,0.57679
973,-1.095408,0.042382,2.082624,2.641017,0.331181,1.930969,1.699191
901,-1.095363,0.934877,2.460557,2.286489,1.284184,1.821905,2.9677
100,-1.094438,1.856037,2.375084,1.749252,2.622991,2.041147,2.300891
540,-1.093072,1.625585,1.546539,1.923835,1.665541,1.077146,2.816591
74,-1.093057,2.766954,0.383562,1.348274,1.994039,0.975012,1.616405
456,-1.09281,1.899624,2.012925,2.368049,2.356524,2.218437,2.128368
227,-1.092734,1.951813,0.234047,0.641863,2.2798,1.142319,0.942026
588,-1.092135,0.780545,2.580995,1.629995,0.345627,2.271533,1.481766
397,-1.092122,1.543755,2.009966,1.26021,1.408778,2.060762,0.255967
154,-1.091449,0.837406,2.502489,2.339894,1.853062,2.510805,2.269089
336,-1.091383,1.192599,0.837113,2.533499,0.68445,1.221697,1.738993
189,-1.091153,2.282476,0.777187,0.026966,1.411555,0.375723,0.373662
275,-1.091,0.168569,1.219868,1.028836,0.025617,0.426195,0.403385
354,-1.090592,0.843786,1.914273,2.362551,0.297521,2.767536,2.502299
952,-1.089611,1.736563,2.576369,2.660069,0.89679,2.259721,2.158871
870,-1.089459,2.061667,2.521048,2.126053,1.623225,2.461707,1.197296
173,-1.089449,2.489998,1.274297,1.921493,2.814547,1.442289,2.883208
411,-1.089357,2.848864,1.559995,1.435297,2.155822,1.861359,2.1341
846,-1.089295,0.188567,0.910708,2.180972,0.678517,0.729611,2.014277
888,-1.088017,2.370765,1.310352,0.012476,2.047466,2.292858,0.077571
273,-1.087474,1.264227,2.211674,1.488223,0.706884,1.762569,2.241672
401,-1.087268,1.121378,0.332105,0.870409,0.698369,0.306594,1.212197
578,-1.087256,1.330924,2.617475,1.900035,0.304333,2.602268,2.068179
972,-1.086963,1.203984,2.516954,2.383789,1.720132,1.676177,2.718877
801,-1.086843,1.206096,0.929196,1.761798,1.583897,0.066159,2.208273
948,-1.086779,2.591112,1.569586,2.472473,2.982718,0.701862,2.898272
499,-1.084485,1.953459,0.469291,1.894857,1.194803,1.12843,1.574397
222,-1.084354,0.299709,1.073833,0.327988,0.908272,0.300163,0.709084
450,-1.08373,1.645264,0.646852,2.382053,1.410982,1.101088,2.550054
961,-1.083154,1.948993,1.527296,1.830613,1.588419,2.463023,2.179511
859,-1.081189,0.104411,2.53049,1.639626,0.49451,2.985293,0.750848
122,-1.081101,0.958254,1.215254,1.954294,1.239509,0.286214,1.498551
907,-1.080449,1.721187,0.27763,0.792239,2.27061,0.810358,0.036296
299,-1.079152,1.352975,2.252154,1.023282,0.941749,1.465221,1.642218
618,-1.078592,2.334087,2.122256,1.26587,2.480345,1.268058,1.919031
174,-1.07779,2.245947,1.828426,1.790237,2.530251,2.751268,2.294318
826,-1.077285,1.35592,0.866361,2.642637,1.999177,0.991827,1.769333
495,-1.075397,2.246069,1.331503,1.042121,1.75236,2.309016,0.92404
529,-1.074562,0.688674,1.140024,2.650743,1.410191,1.904323,2.994013
589,-1.074445,2.512977,1.03025,2.28177,1.466033,1.081253,2.635584
877,-1.074197,0.883193,0.646252,1.033006,1.006292,1.134708,0.894765
73,-1.071866,0.553192,1.759592,0.177106,0.448276,2.155082,1.218964
124,-1.071779,2.173878,0.637703,1.446669,2.145984,0.488311,0.337264
345,-1.070923,1.033124,1.874904,0.585656,2.03726,2.377412,0.533217
310,-1.069463,2.149659,2.845237,0.605866,1.544226,1.921878,0.852825
790,-1.069341,0.734478,2.171745,0.211511,0.181203,1.382075,0.804659
930,-1.067719,2.11744,1.615407,1.310298,2.733344,1.892859,2.228837
563,-1.066072,1.657267,0.64663,2.561792,2.755992,0.393621,2.780246
205,-1.065986,1.882807,1.128274,0.78814,1.467466,1.226026,1.854842
541,-1.065082,0.444688,0.932089,1.728489,0.104897,1.972447,2.092551
819,-1.06327,0.634242,2.449974,1.246448,0.823203,2.632861,0.114109
291,-1.062364,1.254256,1.965307,2.470412,1.910337,1.501606,1.623979
491,-1.061763,1.695232,0.761284,1.564486,0.942159,1.119548,2.385125
874,-1.061079,1.897742,1.429878,1.777824,1.896406,0.966741,2.855989
414,-1.060985,0.828682,2.3367,1.416123,0.264549,1.331886,1.640057
242,-1.060146,2.143054,2.17762,2.476572,1.130108,2.622589,2.071792
570,-1.059812,1.888337,0.18869,0.557686,0.751159,0.446247,0.737472
523,-1.059264,1.990086,1.076619,1.633044,1.802296,1.670969,2.637927
885,-1.058842,1.123461,0.964295,2.033473,1.319974,0.137667,1.208031
887,-1.058711,2.658906,1.918025,2.136797,1.947482,2.666806,2.718209
76,-1.058574,1.872371,2.328832,1.558632,1.323176,1.279267,1.615723
847,-1.057572,2.050906,0.385035,1.149123,1.744217,0.059493,0.045344
24,-1.05656,1.124839,2.097194,1.330892,0.086704,1.545682,1.551197
184,-1.056541,1.52662,0.799429,2.129079,2.598536,0.346696,1.852165
695,-1.056471,1.732171,1.103979,2.29371,2.536099,1.935303,1.986978
838,-1.05458,0.375576,1.523469,1.998919,1.050814,2.180232,1.246003
561,-1.054407,1.907369,1.041836,0.586914,0.946547,0.349,0.817244
957,-1.053451,2.341506,2.085462,1.438427,2.001574,2.982252,0.698148
472,-1.053437,1.376698,1.389473,1.650162,0.172983,1.372083,1.787051
410,-1.05323,1.320171,2.006986,2.555806,0.874012,2.129039,1.434862
614,-1.052993,2.049203,1.681663,0.99936,1.707118,0.885614,0.149281
687,-1.052583,1.580158,0.483753,2.328417,0.676964,1.150209,1.86108
903,-1.052582,1.038351,1.889693,1.543005,2.151469,2.357655,1.685548
701,-1.051552,0.336073,1.125889,2.450209,1.131149,0.643514,1.658977
395,-1.05066,1.233033,0.207117,0.685432,2.192155,0.969902,0.680177
509,-1.050643,1.169881,0.849505,0.91341,2.304931,1.068165,0.506173
387,-1.050107,1.567848,1.295757,1.382619,0.370223,1.393545,1.128253
374,-1.050018,1.236596,1.265454,1.414244,2.348277,1.524245,0.959432
899,-1.049097,0.583147,1.988108,1.073932,1.745182,2.13886,1.458587
750,-1.049073,1.353152,1.110258,1.168581,1.584272,2.307247,0.981216
335,-1.047919,0.177495,1.003578,0.844971,0.158533,0.093257,0.004416
800,-1.047575,1.241442,2.10989,2.357259,0.532731,1.117214,2.585666
555,-1.04752,1.357817,0.006614,1.736912,1.061627,1.195734,1.539946
503,-1.047265,1.598028,1.822201,1.342166,2.434045,2.444501,0.665758
677,-1.046126,1.604799,1.62632,1.449701,1.327448,1.29697,2.621247
793,-1.046066,1.592482,2.465955,1.176481,2.285327,2.907684,0.236526
481,-1.045182,1.060779,1.529207,2.478899,2.261153,1.217775,2.657396
936,-1.045118,0.201719,1.915043,0.46145,1.448642,1.78985,0.469482
881,-1.044976,1.012116,2.66172,0.848462,1.052467,1.691926,1.642324
420,-1.044699,0.064477,0.571245,0.803611,0.711519,1.509552,1.329679
439,-1.04458,2.576589,1.312276,2.858667,1.718742,2.030246,2.287747
802,-1.043435,2.007266,0.920028,2.030174,2.692746,1.645515,2.801914
77,-1.042962,1.069891,1.245045,0.136095,2.090878,1.923318,0.44484
318,-1.042867,1.03827,0.973959,2.56939,0.33368,0.45193,1.658326
669,-1.042857,1.143815,1.108757,2.623671,1.364365,1.154148,1.379315
522,-1.042842,2.859041,0.853247,1.242099,2.062986,1.834598,1.191418
85,-1.041033,1.524611,2.56289,0.574242,1.965024,2.191796,1.710343
689,-1.040243,1.388461,0.878744,0.709479,2.546732,0.350957,0.820797
138,-1.039691,1.7333,1.841099,2.233431,1.251417,2.900087,1.698644
300,-1.039636,1.790474,1.379762,1.83554,1.171361,0.26178,1.75077
883,-1.039556,1.643546,0.294267,2.6767,0.982506,0.065095,1.603431
557,-1.039419,1.398475,0.980341,0.404249,1.597797,1.829737,1.343377
130,-1.039412,2.060737,2.497375,2.084852,1.079657,2.842908,2.834085
104,-1.039316,1.569046,2.926848,0.637585,2.225725,1.826023,0.675792
828,-1.039063,1.88165,0.061037,1.35412,1.816315,0.839022,2.373061
817,-1.03426,2.565392,0.152068,0.472519,2.24923,0.755295,1.589139
652,-1.03363,2.994134,1.801743,1.370595,1.956247,1.764545,2.170873
147,-1.033616,0.679006,1.862918,2.330133,0.65258,2.069925,1.035654
223,-1.033463,1.91242,1.283853,0.566815,2.406906,2.455737,0.245195
134,-1.033215,0.313844,2.742017,1.474339,0.206404,1.46549,1.185372
627,-1.032828,1.520465,0.069881,1.972148,1.083086,1.007349,1.159996
480,-1.032288,1.845872,0.348028,0.666075,2.579347,1.392168,0.336319
152,-1.032089,1.832434,2.241285,1.679713,1.162567,2.893865,0.749639
711,-1.030795,1.601504,0.032445,1.070438,1.877382,0.794886,2.119054
702,-1.030766,1.843996,2.671063,1.389073,1.05477,1.69229,0.968915
475,-1.029888,2.093586,2.340821,0.733475,1.04414,2.670245,1.481432
248,-1.029461,0.718757,0.846766,1.38138,1.058949,2.099108,1.683044
985,-1.028986,1.531011,2.368577,1.628157,2.53687,1.505934,1.788302
587,-1.028583,0.323033,2.007596,0.866045,0.832938,1.790492,2.082558
238,-1.026783,1.356435,1.2684,1.415433,2.322639,2.167458,1.679764
320,-1.026587,1.123505,2.611697,2.100313,1.303192,1.372711,1.603258
912,-1.02645,0.670229,1.829821,0.321611,1.462468,1.100431,1.131969
15,-1.026375,0.847391,2.435116,0.632028,0.560672,1.81345,1.793356
989,-1.025927,2.309147,1.663124,0.85219,1.971732,2.644653,1.716082
255,-1.024869,0.738049,0.501753,2.961276,0.949553,1.830074,2.790777
466,-1.024633,1.970986,0.45863,1.563584,1.47436,0.142965,0.34078
371,-1.022506,1.301081,1.234559,1.777149,1.195452,0.0517,2.45615
724,-1.021792,1.974989,0.392548,2.702758,0.674552,0.004237,2.503942
866,-1.021269,1.739899,0.345749,1.444864,0.421352,0.309941,1.058842
798,-1.020249,0.151973,2.364223,1.99287,1.328453,1.64955,1.900555
994,-1.019798,0.150088,1.523266,2.128376,1.002278,0.494998,1.773029
667,-1.019666,0.734565,2.239495,2.519974,0.175924,1.024323,2.870676
696,-1.019515,1.274699,2.810642,0.795076,2.517624,2.208768,0.712846
602,-1.019395,1.384205,1.013951,0.861588,0.135585,0.812148,0.2996
271,-1.019227,1.522971,2.109865,2.674385,2.73189,2.432596,2.080774
815,-1.018142,1.671154,0.247161,1.074829,1.21368,1.009649,0.005735
892,-1.016056,2.900512,2.289247,2.845169,2.037309,1.236728,2.511975
285,-1.014577,0.27221,1.266003,0.147522,0.093053,1.455185,1.532349
845,-1.013565,0.822015,2.479028,0.91883,1.911904,2.352673,0.026213
997,-1.012167,0.832564,0.96182,1.472536,1.584809,1.442265,2.579188
765,-1.012073,1.577568,1.730739,0.427155,2.342485,2.889617,0.119432
925,-1.012067,0.351272,0.88618,0.615904,0.277452,0.918539,2.035896
731,-1.011125,2.638158,0.207291,1.651318,1.750769,0.376703,0.546406
745,-1.010255,2.571764,2.438461,0.23112,1.196989,2.812635,0.372805
617,-1.009554,1.685018,1.406471,2.240485,0.590547,0.62369,2.740562
863,-1.009469,2.767946,0.924351,1.405894,2.982312,0.669824,0.009022
442,-1.009396,0.393545,2.102734,1.197559,1.661587,2.718747,1.472661
366,-1.009369,0.870434,0.002786,2.894371,1.817142,0.679001,2.051771
993,-1.008978,2.873581,1.079467,1.288966,2.551857,2.214119,0.465252
231,-1.007744,0.819999,2.900481,2.600762,0.52126,1.488135,2.5351
261,-1.007618,1.104857,1.892275,0.587416,0.445293,2.613133,1.653032
21,-1.007612,0.718655,2.105048,0.140139,0.298417,2.412355,1.488935
319,-1.007474,0.058741,1.831669,2.332532,0.789055,1.45655,1.141593
864,-1.007281,2.052409,0.774235,2.539511,0.692035,1.268744,2.524804
916,-1.007211,0.649679,2.541768,2.422336,1.679863,1.530154,2.53097
5,-1.006884,1.406741,0.445281,1.814525,2.374084,0.202726,2.866616
832,-1.006697,0.438484,0.182511,0.459834,0.899904,1.549118,0.614201
831,-1.006132,2.026514,2.576477,0.631169,1.669151,1.575654,1.622996
281,-1.00393,0.592566,2.123732,2.196206,0.105816,2.537022,0.877263
703,-1.003252,2.440435,1.857404,2.259583,1.071732,1.604316,2.729237
143,-1.002891,1.830257,0.43882,2.545682,1.063688,1.690238,2.44577
625,-1.002618,2.949933,1.594583,1.198859,2.734598,2.466646,0.032196
484,-1.000804,0.859723,1.693672,0.72308,1.551717,2.073489,1.977523
75,-0.999373,1.19611,0.722324,0.989716,1.254211,1.696662,2.115304
580,-0.99923,1.522085,0.024839,2.18059,0.679052,1.074752,2.82007
23,-0.999136,0.64591,1.98564,2.434007,1.827616,1.112985,2.689978
781,-0.998057,0.927172,0.556094,2.018771,0.871605,1.782466,2.875411
249,-0.997976,0.566598,2.031213,1.735195,1.82238,1.708307,0.986216
170,-0.997896,0.631168,2.263677,1.517046,0.86582,0.784975,1.473399
757,-0.99718,1.756636,1.735328,1.038388,0.446751,1.138931,0.609805
65,-0.996923,2.105181,0.856029,1.227025,1.752276,0.560059,2.657833
928,-0.996305,0.7961,1.881336,1.543573,1.232371,2.756922,0.397935
260,-0.996158,1.352804,0.177891,1.859672,1.31408,1.127444,0.689746
585,-0.995199,2.343272,1.875899,1.510506,1.523862,2.554951,2.585258
365,-0.993737,0.473471,1.995837,2.509221,0.345466,0.55666,2.982772
744,-0.992243,2.045218,0.290482,1.431643,0.997908,0.016463,0.352346
705,-0.992162,0.968404,1.232298,2.298798,1.672666,2.581393,2.149989
68,-0.991809,1.450847,1.989544,2.895084,0.39549,1.041859,2.318679
332,-0.991606,0.902947,2.31558,2.522064,1.040567,1.973972,1.034812
986,-0.991393,0.521574,1.299805,2.960073,1.728894,1.658155,2.085367
958,-0.990849,1.160445,1.194673,2.548981,1.888902,1.879568,1.382531
871,-0.990796,0.348683,1.201606,1.543045,1.793547,1.622958,1.852986
753,-0.990294,1.463244,0.66458,2.10493,1.725523,0.857071,0.600298
333,-0.989507,0.584772,0.588025,0.511785,0.573831,2.131699,0.522373
938,-0.989072,1.001437,0.483845,0.061491,1.268958,1.933119,0.52908
946,-0.987934,1.523866,1.009059,1.315455,1.543876,2.396934,0.620074
290,-0.987544,2.574385,1.532161,1.967477,2.721908,1.625214,0.422662
644,-0.987402,1.392468,2.556165,1.44738,2.27521,2.083135,0.257278
202,-0.987256,1.233935,1.837058,1.54106,2.531362,2.683213,1.390822
868,-0.987045,1.582436,1.35141,1.554604,2.98833,1.333721,2.224429
850,-0.985797,1.635706,2.527307,2.075686,2.554536,1.439211,1.428358
206,-0.985784,2.169306,2.6722,0.278421,0.656311,2.9728,0.539095
207,-0.985726,2.162871,1.206734,2.376153,0.703931,0.738096,2.059366
38,-0.985724,1.435166,0.561065,1.15651,0.795659,0.478182,2.582229
413,-0.985581,1.956304,0.129292,1.265377,0.605806,0.670677,1.843357
514,-0.985158,0.078708,1.559115,1.727537,0.992118,0.864046,2.795702
356,-0.985057,2.438047,0.421738,1.230089,2.245802,1.863879,0.644034
176,-0.984789,1.743853,1.037815,2.186099,0.72335,2.220578,2.342769
422,-0.983352,2.021114,1.633753,2.535495,2.59347,1.742266,1.068899
918,-0.983032,0.177425,2.161616,0.000719,0.158103,2.58637,1.522285
239,-0.982775,2.750488,1.748132,2.744988,2.198869,0.332,2.308154
363,-0.981556,0.032457,1.940599,0.018229,0.559112,0.706031,0.867221
552,-0.981426,0.750011,1.441154,0.199321,0.849397,0.939127,1.703562
929,-0.981133,1.255012,2.154794,0.391257,2.57242,1.264135,0.424119
911,-0.980241,2.128448,1.355147,1.030184,1.988386,0.108634,0.043981
317,-0.979378,1.741621,2.114634,0.59251,2.787328,2.407354,1.768294
99,-0.979264,1.227794,1.467626,0.656679,1.899175,0.038207,0.392596
878,-0.979082,2.712855,2.253417,2.33896,2.770827,1.92673,0.771486
992,-0.978272,0.378654,2.614196,0.752245,0.480446,1.106652,0.20561
58,-0.978266,0.85774,2.28217,0.229346,2.40343,1.888346,0.035137
937,-0.978158,2.235535,0.519757,2.387155,2.615251,0.578144,0.826273
423,-0.977694,2.276469,1.64183,1.558606,2.088761,2.80677,2.65412
779,-0.977617,1.952898,2.279493,0.981889,0.479595,2.491674,0.366883
444,-0.977175,1.81228,1.963545,1.686319,1.670947,0.682288,0.716564
889,-0.977061,0.650896,1.04685,1.305187,0.0788,2.002206,2.473148
59,-0.976902,0.484811,1.529981,1.051369,0.066581,2.792891,1.966361
650,-0.976538,1.808502,0.040524,1.594711,1.709534,1.623806,1.28292
44,-0.975571,1.964697,1.585817,1.688317,2.732303,2.394085,2.866983
113,-0.974936,0.120423,2.389022,1.846963,0.593862,1.156264,0.898391
236,-0.974828,1.53996,1.253516,0.058972,1.140722,1.774776,1.547107
407,-0.974331,1.513561,1.031848,1.463901,1.735724,2.625103,1.723029
421,-0.974122,0.487601,0.882721,1.704612,1.823678,1.691187,1.235367
526,-0.97406,2.14187,0.861078,0.433023,2.44785,2.421876,0.071958
194,-0.973796,1.244498,1.849527,0.750474,1.271464,0.261083,1.126196
201,-0.973795,1.446175,1.423578,1.487005,0.300599,0.260675,1.506559
603,-0.973676,1.564706,1.365888,1.102622,0.452115,2.256166,1.90065
313,-0.973336,1.566605,0.801096,2.29541,2.477971,2.088936,2.725061
102,-0.972743,0.448853,2.212096,2.594667,2.071758,2.405223,2.47698
537,-0.972718,1.647648,1.888185,0.302216,1.535855,1.337512,1.841598
638,-0.9724,1.362817,0.7257,0.083727,1.833944,1.574983,1.405939
963,-0.972303,2.587052,1.966548,2.441898,2.136033,0.85545,1.321466
167,-0.972278,1.184167,0.308621,0.858111,0.502463,0.364962,2.35006
795,-0.972202,1.795813,0.047203,2.291289,2.007323,0.228406,0.673364
890,-0.972191,2.227581,0.125667,0.437443,1.261054,1.44564,0.57511
686,-0.971902,2.114831,2.504325,1.522787,1.109672,1.266999,1.123203
709,-0.971438,0.768226,0.711022,1.162368,1.169011,2.079142,0.33928
688,-0.970181,1.07074,1.437911,0.468161,2.302812,0.484878,1.022907
264,-0.969127,0.561653,2.104273,1.571467,1.827979,1.189355,1.011309
110,-0.968817,2.250579,2.464519,1.607424,2.301456,0.832091,1.912475
520,-0.968755,2.99562,0.573999,2.057061,2.652543,2.069276,2.695906
0,-0.967458,1.371727,0.457379,0.967342,2.757446,1.052091,0.250993
293,-0.967258,1.45741,1.71678,0.684338,2.666603,2.644466,0.000057
725,-0.967194,2.15654,1.2125,1.361361,0.573671,1.064882,0.846594
914,-0.96696,1.708398,1.189185,1.900579,2.932843,1.53046,0.813779
910,-0.966951,0.153791,1.365262,0.505835,1.729068,1.888148,0.300571
675,-0.966852,2.222032,2.875397,1.07973,0.695663,2.369336,0.61811
241,-0.966503,0.536975,0.361075,1.837729,0.595947,1.501797,0.612505
51,-0.966341,2.812191,1.622126,0.807024,1.822937,2.324413,1.963424
